sample,ShearStrength,Compressivestrengthofconcrete,ShearStressrange,Size,BeamTest,DirectShearTest,PushOutTest,AdhesiveAnchor,BlindBoltShearConnector,ChannelConnectors,ClusterStud,CorrodedStud,DoubleNutBolt,HASEAdhesiveAnchor,HighTensionFrictionGripBolt,LConnectors,Perfobondrib,Perfobondribgroup,Perforatedshearconnector,PostInstalledWeldedStud,PuzzleStrip,Stud,TheCoiledSpringPin,WedgeBoltConcreteScrew,Ytypeperfobondrib,cycle
479,0.64906903,-1.349580016,0.19914626,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.184176501
480,0.64906903,-1.056432694,0.19914626,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.445762949
481,0.64906903,-0.971325407,1.485252759,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.593295262
482,0.64906903,-0.044601614,0.19914626,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.672319569
483,0.64906903,0.14452569,0.35868671,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.243038049
484,0.64906903,0.14452569,0.35868671,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.240549248
485,0.64906903,0.14452569,0.35868671,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.707570176
486,0.64906903,0.14452569,0.35868671,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.959041392
487,0.64906903,0.14452569,-1.103149041,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.414973348
488,0.64906903,0.14452569,-1.103149041,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.873320602
489,0.64906903,0.14452569,-1.103149041,0.598079693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.832508913
490,0.64906903,0.14452569,1.08907455,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.512627038
491,0.64906903,0.14452569,1.08907455,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.90496426
492,0.64906903,0.14452569,1.08907455,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.38938052
493,0.64906903,0.14452569,1.08907455,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.961885991
494,0.64906903,0.14452569,-0.372231166,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.200444183
495,0.64906903,0.14452569,-0.372231166,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.423940681
496,0.64906903,0.14452569,-0.372231166,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.994193051
497,0.64906903,0.14452569,-0.372231166,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.371669913
498,0.64906903,0.14452569,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.583142074
499,0.64906903,0.14452569,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.752102251
500,0.64906903,0.14452569,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.557435014
501,0.64906903,0.14452569,0.19914626,0.598079693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.580936374
502,0.138919131,-0.101339806,0.515046951,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.579783597
503,0.138919131,0.045233855,-0.679651302,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.31386722
504,0.138919131,0.007408394,0.418050598,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.835690571
505,0.138919131,0.546421213,-0.380711721,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.230448921
506,0.138919131,0.896306726,-0.634598351,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.315970345
507,0.138919131,-0.195903458,-0.231241931,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.541579244
508,0.138919131,-0.191175275,-0.970640362,-3.080344957,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.342422681
509,-0.901539552,0.14452569,1.323349896,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.505149978
510,-0.901539552,0.14452569,1.221053195,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
511,-0.901539552,0.14452569,-0.821700606,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.361727836
512,-0.901539552,0.14452569,-0.821700606,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.322219295
513,-0.901539552,0.14452569,-1.841487403,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.832508913
514,-0.901539552,0.14452569,-1.841487403,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.892094603
515,-0.901539552,0.14452569,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.424881637
516,-0.901539552,0.14452569,0.19914626,-1.241132632,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.681241237
